location_id,shelter_id,shelter_name,address_1,city,county_parish,state,zip,shelter_status_code,assigned_geo_level,loc_id,tract_loc_id,county_loc_id,state_loc_id,latitude,longitude,state_contains_point,county_contains_point,nearest_county_loc_id,nearest_county_distance_deg,geo_classification
nss_shelters-170449,170449,Dana Middle School,1501 S. CABRILLO AVE.,SAN PEDRO,LOS ANGELES,CA,90731.0,CLOSED,state,USA-CA,,,USA-CA,33.73060409,-118.29458688,True,True,USA-CA-037,0.0,runtime_missed_county_containment
nss_shelters-170638,170638,East Palo Alto Charter School*,1286 Runnymede Street,EAST PALO ALTO,SANTA CLARA,CA,94303.0,CLOSED,state,USA-CA,,,USA-CA,37.46872603,-122.12734449,True,True,USA-CA-081,0.0,runtime_missed_county_containment
nss_shelters-170805,170805,Ethel Dwyer Middle School,1502 Palm Avenue,HUNTINGTON BEACH,ORANGE,CA,92648.0,CLOSED,state,USA-CA,,,USA-CA,33.66874872,-118.00560774,True,True,USA-CA-059,0.0,runtime_missed_county_containment
nss_shelters-364752,364752,Fireside Church Santa Cruz,311 Second St,SANTA CRUZ,SANTA CRUZ,CA,95060.0,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0,False,False,,,zero_zero_bad_source_point
nss_shelters-171024,171024,Fort Mason Center Festival Pavillion Pier 3,99 Marina Blvd,SAN FRANCISCO,SAN FRANCISCO,CA,94123.0,CLOSED,state,USA-CA,,,USA-CA,37.80500952,-122.43366257,True,False,USA-CA-075,0.0037413936800517345,inside_state_near_county_edge
nss_shelters-171025,171025,Fort Mason Center Herbst Pavillion Pier 2,99 Marina Blvd,SAN FRANCISCO,SAN FRANCISCO,CA,94123.0,CLOSED,state,USA-CA,,,USA-CA,37.80500952,-122.43366257,True,False,USA-CA-075,0.0037413936800517345,inside_state_near_county_edge
nss_shelters-356797,356797,Foster City Community Center,1000 E Hillsdale Blvd,FOSTER CITY,SAN MATEO,CA,94404.0,CLOSED,state,USA-CA,,,USA-CA,37.55878,-122.270268,True,True,USA-CA-081,0.0,runtime_missed_county_containment
nss_shelters-356794,356794,Foster City Teen Center: The Vibe,670 Shell Blvd,FOSTER CITY,SAN MATEO,CA,94404.0,CLOSED,state,USA-CA,,,USA-CA,37.5566658,-122.2684064,True,True,USA-CA-081,0.0,runtime_missed_county_containment
nss_shelters-171041,171041,Francisco Middle School,2190 Powell Street,San Francisco,San Francisco,CA,94133.0,CLOSED,state,USA-CA,,,USA-CA,37.80482066,-122.41176407,True,True,USA-CA-075,0.0,runtime_missed_county_containment
nss_shelters-171098,171098,Galileo High School,1150 Francisco Street,San Francisco,San Francisco,CA,94109.0,CLOSED,state,USA-CA,,,USA-CA,37.80334578,-122.42411177,True,True,USA-CA-075,0.0,runtime_missed_county_containment
nss_shelters-171134,171134,George Washington High School,600 32nd Avenue,San Francisco,San Francisco,CA,94121.0,CLOSED,state,USA-CA,,,USA-CA,37.77778704,-122.4921095,True,True,USA-CA-075,0.0,runtime_missed_county_containment
nss_shelters-171171,171171,Golden Gate Park Senior Center,6101 Fulton Street,San Francisco,San Francisco,CA,94121.0,CLOSED,state,USA-CA,,,USA-CA,37.77204038,-122.49630934,True,True,USA-CA-075,0.0,runtime_missed_county_containment
nss_shelters-364788,364788,Harbor High School,300 La Fonda Ave,SANTA CRUZ,SANTA CRUZ,CA,95062.0,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0,False,False,,,zero_zero_bad_source_point
nss_shelters-350825,350825,Harding University Partnership,1625 Robbins Street,SANTA BARBARA,SANTA BARBARA,CA,93101.0,CLOSED,state,USA-CA,,,USA-CA,34.41703583,-119.72148071,True,True,USA-CA-083,0.0,runtime_missed_county_containment
nss_shelters-326579,326579,Hemet High School,41701 E Stetson Ave,Hemet,Riverside,CA,92544.0,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0,False,False,,,zero_zero_bad_source_point
nss_shelters-330418,330418,Hollywood Beach School,4000 Sunset Lane,OXNARD,VENTURA,CA,93035.0,CLOSED,state,USA-CA,,,USA-CA,34.17235107,-119.23291251,False,False,USA-CA-111,0.0040412154718196475,outside_state_but_near_claimed_state_county
