location_id,shelter_id,shelter_name,address_1,city,county_parish,state,zip,shelter_status_code,assigned_geo_level,loc_id,tract_loc_id,county_loc_id,state_loc_id,latitude,longitude
nss_shelters-350826,350826,McKinley Elementary School,350 LOMA ALTA DR,SANTA BARBARA,SANTA BARBARA,CA,93109,CLOSED,state,USA-CA,,,USA-CA,34.40717496,-119.70228311
nss_shelters-350828,350828,Monroe Elementary School,431 FLORA VISTA DR,SANTA BARBARA,SANTA BARBARA,CA,93109,CLOSED,state,USA-CA,,,USA-CA,34.40393767,-119.72972781
nss_shelters-172526,172526,Morro Bay High School,235 ATASCADERO RD,MORRO BAY,SAN LUIS OBISPO,CA,93442,CLOSED,state,USA-CA,,,USA-CA,35.38002364,-120.85727695
nss_shelters-335723,335723,Morro Bay Veteran's Hall,209 Surf Street Morro Bay,MORRO BAY,SAN LUIS OBISPO,CA,93442,CLOSED,state,USA-CA,,,USA-CA,35.37023003,-120.85347282
nss_shelters-172801,172801,Ocean Institute,24200 Dana Point Harbor Drive,DANA POINT,ORANGE,CA,92629,CLOSED,state,USA-CA,,,USA-CA,33.46017795,-117.70696088
nss_shelters-364784,364784,Outside - Santa Cruz Fairground,2601 East Lake Blvd,WATSONVILLE,SANTA CRUZ,CA,95076,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-172903,172903,PACIFIC GROVE HIGH MULTIPURPOSE ROOM,615 SUNSET DR,PACIFIC GROVE,MONTEREY,CA,93950,CLOSED,state,USA-CA,,,USA-CA,36.63588189,-121.93638245
nss_shelters-172905,172905,PACIFIC HIGH SCHOOL GYM,615 SUNSET DR,PACIFIC GROVE,MONTEREY,CA,93950,CLOSED,state,USA-CA,,,USA-CA,36.63588189,-121.93638245
nss_shelters-359544,359544,Pacific Collegiate School,3004 Mission St,SANTA CRUZ,SANTA CRUZ,CA,95062,CLOSED,state,USA-CA,,,USA-CA,36.9533979,-122.0504318
nss_shelters-172907,172907,Pacific Elementary School,50 Ocean St,DAVENPORT,SANTA CRUZ,CA,95017,CLOSED,state,USA-CA,,,USA-CA,37.01188843,-122.19504545
nss_shelters-359265,359265,Pacific Valley School,69325 Hwy 1,BIG SUR,MONTEREY,CA,93920,CLOSED,state,USA-CA,,,USA-CA,35.9198101,-121.4659383
nss_shelters-363731,363731,Palos Verdes High School M.P.R.,600 CLOYEDON RD.,PALOS VERDES ESTATES,LOS ANGELES,CA,90274,CLOSED,state,USA-CA,,,USA-CA,33.779738,-118.4199613
nss_shelters-173015,173015,Peacock Gap Country Club,33 Biscayne Dr.,SAN RAFAEL,MARIN,CA,94901,CLOSED,state,USA-CA,,,USA-CA,37.9956478,-122.45835795
nss_shelters-361837,361837,Pomeroy Recreation and Rehabilitation Center,207 Skyline Blvd,SAN FRANCISCO,SAN FRANCISCO,CA,94132,CLOSED,state,USA-CA,,,USA-CA,37.730403,-122.500691
nss_shelters-173152,173152,Presidio Middle School,450 30th Avenue,San Francisco,San Francisco,CA,94121,CLOSED,state,USA-CA,,,USA-CA,37.78086273,-122.49019395
nss_shelters-364864,364864,Quail Hill Community,39 Shady Canyon Rd,IRVINE,ORANGE,CA,92603,CLOSED,state,USA-CA,,,USA-CA,0.0,0.0
nss_shelters-173246,173246,REED SCHOOL,1199 TIBURON BLVD,BELVEDERE TIBURON,MARIN,CA,94920,CLOSED,state,USA-CA,,,USA-CA,37.88033673,-122.46482407
